Time Interval,Reserve Type,Type of Product,Source,Up price,Down Price,Currency,Price type
06.01.2024 04:00 - 06.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,92.7,82.53,EUR,MARGINAL
06.01.2024 05:00 - 06.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,86.5,84.13,EUR,MARGINAL
06.01.2024 06:00 - 06.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,86.5,84.48,EUR,MARGINAL
06.01.2024 07:00 - 06.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,87.43,87.43,EUR,MARGINAL
06.01.2024 08:00 - 06.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,90.87,90.87,EUR,MARGINAL
06.01.2024 09:00 - 06.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,94.98,82.0,EUR,MARGINAL
06.01.2024 10:00 - 06.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,100.41,82.0,EUR,MARGINAL
06.01.2024 11:00 - 06.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,105.0,103.65,EUR,MARGINAL
06.01.2024 12:00 - 06.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,104.0,102.33,EUR,MARGINAL
06.01.2024 13:00 - 06.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,98.0,97.75,EUR,MARGINAL
06.01.2024 14:00 - 06.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,96.0,95.51,EUR,MARGINAL
06.01.2024 15:00 - 06.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,98.5,98.5,EUR,MARGINAL
06.01.2024 16:00 - 06.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,110.0,110.0,EUR,MARGINAL
06.01.2024 17:00 - 06.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,120.0,118.27,EUR,MARGINAL
06.01.2024 18:00 - 06.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,119.0,106.94,EUR,MARGINAL
