ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
05/01/2023 12:00:00 - 05/01/2023 13:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,150.0,140.91
05/01/2023 13:00:00 - 05/01/2023 14:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,150.0,142.84
05/01/2023 14:00:00 - 05/01/2023 15:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,149.4,125.0
05/01/2023 15:00:00 - 05/01/2023 16:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,155.2,135.0
05/01/2023 16:00:00 - 05/01/2023 17:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,167.38,167.38
05/01/2023 17:00:00 - 05/01/2023 18:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,189.06,139.0
05/01/2023 18:00:00 - 05/01/2023 19:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,188.81,135.0
05/01/2023 19:00:00 - 05/01/2023 20:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,172.28,133.5
05/01/2023 20:00:00 - 05/01/2023 21:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,158.74,126.0
05/01/2023 21:00:00 - 05/01/2023 22:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,148.62,121.41
05/01/2023 22:00:00 - 05/01/2023 23:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,141.17,124.0
05/01/2023 23:00:00 - 06/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,127.0,100.0
06/01/2023 00:00:00 - 06/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,110.24,110.24
06/01/2023 01:00:00 - 06/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,104.29,104.29
06/01/2023 02:00:00 - 06/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,99.61,80.67
06/01/2023 03:00:00 - 06/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,84.97,84.97
06/01/2023 04:00:00 - 06/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,84.56,65.0
06/01/2023 05:00:00 - 06/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,86.71,60.0
06/01/2023 06:00:00 - 06/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,100.36,72.0
06/01/2023 07:00:00 - 06/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,110.93,80.0
