Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2020-01-09 Kl. 17-18;0.35626;0.35626;0.33679;0.26569;0.35626
2020-01-09 Kl. 18-19;0.35380;0.35380;0.33704;0.26529;0.35380
2020-01-09 Kl. 19-20;0.34911;0.34911;0.33741;0.26510;0.34911
2020-01-09 Kl. 20-21;0.34061;0.34061;0.33729;0.26450;0.34061
2020-01-09 Kl. 21-22;0.33950;0.33950;0.33950;0.26332;0.33950
2020-01-09 Kl. 22-23;0.33149;0.33149;0.33149;0.26194;0.33149
2020-01-09 Kl. 23-00;0.32545;0.32545;0.32545;0.26017;0.32545
2020-01-10 Kl. 00-01;0.32175;0.32175;0.32175;0.25740;0.32175
2020-01-10 Kl. 01-02;0.32101;0.32101;0.32026;0.25621;0.32101
2020-01-10 Kl. 02-03;0.31854;0.31854;0.31854;0.25483;0.31854
2020-01-10 Kl. 03-04;0.31953;0.31953;0.31953;0.25562;0.31953
2020-01-10 Kl. 04-05;0.32335;0.32335;0.32335;0.25868;0.32335
2020-01-10 Kl. 05-06;0.33261;0.33261;0.33261;0.26609;0.33261
2020-01-10 Kl. 06-07;0.34865;0.34865;0.32656;0.26125;0.34865
2020-01-10 Kl. 07-08;0.36396;0.36396;0.32421;0.25937;0.36396
2020-01-10 Kl. 08-09;0.36865;0.36865;0.32608;0.26086;0.36865
2020-01-10 Kl. 09-10;0.36766;0.36766;0.32644;0.26115;0.36766
2020-01-10 Kl. 10-11;0.36630;0.36630;0.32631;0.26105;0.36630
2020-01-10 Kl. 11-12;0.36371;0.36371;0.32644;0.26115;0.36371
2020-01-10 Kl. 12-13;0.35346;0.35346;0.32656;0.26125;0.35346
2020-01-10 Kl. 13-14;0.35112;0.35112;0.32644;0.26115;0.35112
2020-01-10 Kl. 14-15;0.34841;0.34841;0.32619;0.26095;0.34841
2020-01-10 Kl. 15-16;0.35606;0.35606;0.32608;0.26086;0.35606
2020-01-10 Kl. 16-17;0.37136;0.37136;0.32446;0.25957;0.36569
2020-01-10 Kl. 17-18;0.36890;0.36890;0.32261;0.25809;0.36569
2020-01-10 Kl. 18-19;0.36396;0.36396;0.32793;0.26234;0.36396
2020-01-10 Kl. 19-20;0.35915;0.35915;0.32706;0.26165;0.35915
2020-01-10 Kl. 20-21;0.34064;0.34064;0.32656;0.26125;0.34064
2020-01-10 Kl. 21-22;0.33385;0.33385;0.32891;0.26313;0.33385
2020-01-10 Kl. 22-23;0.32608;0.32608;0.32608;0.26086;0.32608
2020-01-10 Kl. 23-00;0.32175;0.32175;0.31940;0.25552;0.32175
2020-01-11 Kl. 00-01;0.32706;0.32706;0.32706;0.26165;0.32706
2020-01-11 Kl. 01-02;0.32423;0.32423;0.32078;0.25662;0.32423
2020-01-11 Kl. 02-03;0.32238;0.32238;0.31831;0.25465;0.32238
2020-01-11 Kl. 03-04;0.31745;0.31745;0.31573;0.25258;0.31745
2020-01-11 Kl. 04-05;0.31326;0.31326;0.31326;0.25061;0.31326
2020-01-11 Kl. 05-06;0.31215;0.31215;0.31215;0.24972;0.31215
2020-01-11 Kl. 06-07;0.31388;0.31388;0.31129;0.24903;0.31388
2020-01-11 Kl. 07-08;0.31326;0.31326;0.31326;0.25061;0.31326
2020-01-11 Kl. 08-09;0.31646;0.31646;0.31646;0.25317;0.31646
2020-01-11 Kl. 09-10;0.31966;0.31966;0.31880;0.25504;0.31966
2020-01-11 Kl. 10-11;0.31869;0.31869;0.31869;0.25495;0.31869
2020-01-11 Kl. 11-12;0.31486;0.31486;0.31486;0.25189;0.31486
2020-01-11 Kl. 12-13;0.31055;0.31055;0.31055;0.24844;0.31055
2020-01-11 Kl. 13-14;0.30832;0.30832;0.30832;0.24666;0.30832
2020-01-11 Kl. 14-15;0.30660;0.30660;0.30660;0.24528;0.30660
2020-01-11 Kl. 15-16;0.31030;0.31030;0.31030;0.24824;0.31030
2020-01-11 Kl. 16-17;0.31499;0.31499;0.31499;0.25199;0.31499
2020-01-11 Kl. 17-18;0.31621;0.31621;0.31621;0.25297;0.31621
2020-01-11 Kl. 18-19;0.31337;0.31337;0.31337;0.25070;0.31337
2020-01-11 Kl. 19-20;0.30549;0.30549;0.30549;0.24439;0.30549
2020-01-11 Kl. 20-21;0.29722;0.29722;0.29722;0.23778;0.29722
2020-01-11 Kl. 21-22;0.29341;0.29341;0.28553;0.22842;0.29341
2020-01-11 Kl. 22-23;0.28934;0.28934;0.26296;0.21037;0.28934
2020-01-11 Kl. 23-00;0.28824;0.28824;0.23805;0.19044;0.28824
2020-01-12 Kl. 00-01;0.28950;0.28950;0.24859;0.19887;0.28950
2020-01-12 Kl. 01-02;0.28468;0.28468;0.23944;0.19155;0.28468
2020-01-12 Kl. 02-03;0.28889;0.28889;0.22695;0.18156;0.28889
2020-01-12 Kl. 03-04;0.28419;0.28419;0.22670;0.18136;0.28419
2020-01-12 Kl. 04-05;0.27888;0.27888;0.22460;0.17968;0.27888
2020-01-12 Kl. 05-06;0.28209;0.28209;0.23066;0.18453;0.28209
2020-01-12 Kl. 06-07;0.29321;0.29321;0.22238;0.17790;0.29321
2020-01-12 Kl. 07-08;0.29643;0.29643;0.22523;0.18018;0.29643
2020-01-12 Kl. 08-09;0.30001;0.30001;0.27319;0.21855;0.30001
2020-01-12 Kl. 09-10;0.30594;0.30594;0.29580;0.23664;0.30594
2020-01-12 Kl. 10-11;0.30866;0.30866;0.29951;0.23961;0.30866
2020-01-12 Kl. 11-12;0.30928;0.30928;0.30705;0.24564;0.30928
2020-01-12 Kl. 12-13;0.30940;0.30940;0.30224;0.24179;0.30940
2020-01-12 Kl. 13-14;0.30854;0.30854;0.30174;0.24139;0.30854
2020-01-12 Kl. 14-15;0.30866;0.30866;0.30829;0.24663;0.30866
2020-01-12 Kl. 15-16;0.31238;0.31238;0.31238;0.24990;0.31238
2020-01-12 Kl. 16-17;0.31756;0.31756;0.31756;0.25405;0.31756
2020-01-12 Kl. 17-18;0.32758;0.32758;0.32758;0.26206;0.32758
2020-01-12 Kl. 18-19;0.32967;0.32967;0.32967;0.26374;0.32967
2020-01-12 Kl. 19-20;0.32337;0.32337;0.32337;0.25870;0.32337
2020-01-12 Kl. 20-21;0.31670;0.31670;0.31670;0.25336;0.31670
2020-01-12 Kl. 21-22;0.31559;0.31559;0.31559;0.25247;0.31559
2020-01-12 Kl. 22-23;0.31496;0.31496;0.31496;0.25197;0.31496
2020-01-12 Kl. 23-00;0.30829;0.30829;0.30001;0.24001;0.30829
2020-01-13 Kl. 00-01;0.30804;0.30804;0.27838;0.22270;0.30804
2020-01-13 Kl. 01-02;0.30335;0.30335;0.29556;0.23645;0.30335
2020-01-13 Kl. 02-03;0.30483;0.30483;0.29618;0.23694;0.30483
2020-01-13 Kl. 03-04;0.30718;0.30718;0.29989;0.23991;0.30718
2020-01-13 Kl. 04-05;0.31311;0.31311;0.30915;0.24732;0.31311
2020-01-13 Kl. 05-06;0.32337;0.32337;0.32128;0.25702;0.32337
2020-01-13 Kl. 06-07;0.34364;0.34364;0.31756;0.25405;0.34364
2020-01-13 Kl. 07-08;0.35106;0.35106;0.31559;0.25247;0.35106
2020-01-13 Kl. 08-09;0.36206;0.36206;0.31658;0.25326;0.36206
2020-01-13 Kl. 09-10;0.35711;0.35711;0.31731;0.25385;0.35711
2020-01-13 Kl. 10-11;0.35341;0.35341;0.31769;0.25415;0.35341
2020-01-13 Kl. 11-12;0.35044;0.35044;0.31608;0.25286;0.35044
2020-01-13 Kl. 12-13;0.34871;0.34871;0.31559;0.25247;0.34871
2020-01-13 Kl. 13-14;0.34698;0.34698;0.31546;0.25237;0.34698
2020-01-13 Kl. 14-15;0.34698;0.34698;0.31608;0.25286;0.34698
2020-01-13 Kl. 15-16;0.34909;0.34909;0.31608;0.25286;0.34909
2020-01-13 Kl. 16-17;0.35119;0.35119;0.31633;0.25306;0.35119
2020-01-13 Kl. 17-18;0.34995;0.34995;0.31769;0.25415;0.34995
2020-01-13 Kl. 18-19;0.34586;0.34586;0.31805;0.25444;0.34586
2020-01-13 Kl. 19-20;0.33857;0.33857;0.31830;0.25464;0.33857
2020-01-13 Kl. 20-21;0.32733;0.32733;0.31830;0.25464;0.32733
2020-01-13 Kl. 21-22;0.32189;0.32189;0.32115;0.25692;0.32189
2020-01-13 Kl. 22-23;0.31324;0.31324;0.31324;0.25059;0.31324
2020-01-13 Kl. 23-00;0.28925;0.28925;0.28925;0.23140;0.28925
2020-01-14 Kl. 00-01;0.28661;0.28661;0.27498;0.21998;0.28661
2020-01-14 Kl. 01-02;0.26395;0.26395;0.22979;0.18383;0.26395
2020-01-14 Kl. 02-03;0.25318;0.25318;0.22780;0.18224;0.25318
2020-01-14 Kl. 03-04;0.25541;0.25541;0.22719;0.18175;0.25541
2020-01-14 Kl. 04-05;0.26594;0.26594;0.22904;0.18323;0.26594
2020-01-14 Kl. 05-06;0.27336;0.27336;0.25145;0.20116;0.27336
2020-01-14 Kl. 06-07;0.30494;0.30494;0.30494;0.24395;0.30494
2020-01-14 Kl. 07-08;0.31633;0.31633;0.31633;0.25306;0.31633
2020-01-14 Kl. 08-09;0.31991;0.31991;0.31991;0.25593;0.31991
2020-01-14 Kl. 09-10;0.31929;0.31929;0.31929;0.25543;0.31929
2020-01-14 Kl. 10-11;0.31868;0.31868;0.31830;0.25464;0.31868
2020-01-14 Kl. 11-12;0.31731;0.31731;0.31694;0.25355;0.31731
2020-01-14 Kl. 12-13;0.31583;0.31583;0.31583;0.25266;0.31583
2020-01-14 Kl. 13-14;0.31694;0.31694;0.31694;0.25355;0.31694
2020-01-14 Kl. 14-15;0.31892;0.31892;0.31892;0.25514;0.31892
2020-01-14 Kl. 15-16;0.32438;0.32438;0.31941;0.25553;0.32438
2020-01-14 Kl. 16-17;0.32870;0.32870;0.32103;0.25682;0.32870
