Date,DK1,DK2,FI,NO1,NO2,NO2NSL,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2024-08-31,926.3774999999999,956.99,-101.79500000000002,47.27000000000001,542.1800000000001,0.0,41.459999999999994,97.30999999999999,51.72,-23.78,-0.34750000000000103,-37.11,-3.6500000000000004
2024-09-01,628.9825000000001,672.68,23.6925,123.36999999999999,500.95000000000005,0.0,226.34000000000003,214.09000000000003,121.36999999999999,-3.2099999999999973,14.250000000000004,-17.349999999999998,121.79999999999998
2024-09-02,1485.75,1513.53,157.30499999999998,441.95,799.1975,0.0,112.07999999999998,118.57999999999998,421.2775,89.68999999999998,94.26749999999998,391.6,1479.19
2024-09-03,1536.1125000000002,1541.3600000000001,516.4875000000001,335.0,767.625,0.0,56.14,58.14,336.01,55.47,61.27750000000001,160.225,1492.5575
2024-09-04,1568.0825000000002,1540.69,533.29,369.55000000000007,768.3575,0.0,183.85,176.42000000000002,286.23,38.0225,38.9075,121.92000000000002,867.7999999999997
2024-09-05,385.64000000000004,451.88250000000005,564.46,213.9325,392.975,0.0,235.87,229.455,202.66999999999996,38.5,42.69499999999999,127.57000000000001,255.46749999999997
2024-09-06,319.155,341.96999999999997,347.75,202.55,361.13999999999993,0.0,221.57,215.60500000000002,184.37,85.68,58.89,101.19999999999999,265.92
2024-09-07,-728.56,-823.8425,91.7675,79.97,501.40000000000003,0.0,175.5,172.50250000000003,83.13999999999999,-35.25999999999999,62.4525,64.8175,70.06
2024-09-08,774.1000000000001,774.1,53.36,21.260000000000005,456.8399999999999,0.0,75.67,101.10999999999999,34.52000000000001,-38.33,32.370000000000005,27.010000000000005,37.31
2024-09-09,1244.3675,1208.8600000000001,10.21,18.200000000000003,762.61,0.0,23.46,11.455000000000004,24.75,-110.05499999999999,4.79,-3.4399999999999995,-4.112500000000001
2024-09-10,87.07999999999998,55.67,-4.075000000000001,0.6399999999999997,101.36500000000001,0.0,7.265000000000001,16.96,2.1549999999999994,-8.775000000000002,-4.0150000000000015,-4.66,-2.730000000000001
2024-09-11,608.2199999999999,708.2799999999999,237.18000000000004,57.670000000000016,486.66249999999997,0.0,36.61,27.5,66.68000000000002,23.127499999999994,39.870000000000005,39.46000000000001,63.96000000000001
2024-09-12,1382.5575000000001,1380.31,945.02,2.1199999999999974,690.5999999999999,0.0,53.290000000000006,57.09,53.98499999999999,31.47,40.31249999999999,-953.3149999999999,-413.73
2024-09-13,1082.4425,1047.48,2438.6400000000003,60.66,710.74,0.0,87.23000000000002,103.2,97.385,92.4,97.88750000000002,81.25,102.0
2024-09-14,529.07,409.64,891.45,71.03,445.99,0.0,122.32,111.70000000000002,63.87749999999999,49.36749999999999,65.11000000000001,61.599999999999994,71.03
2024-09-15,621.8849999999999,604.1324999999998,936.5275,47.959999999999994,427.65,0.0,161.72999999999996,165.67000000000002,93.97000000000001,90.725,104.61000000000001,76.61000000000001,104.32000000000001
2024-09-16,1394.1100000000001,1377.02,1812.57,377.12,652.15,0.0,253.8875,293.88000000000005,176.76,199.74,231.03000000000003,379.3,369.29
2024-09-17,1191.49,1191.49,1531.84,296.78000000000003,566.36,0.0,248.33999999999997,261.71,231.82500000000002,215.95999999999998,257.2575,294.40500000000003,266.78000000000003
2024-09-18,946.96,968.45,546.3075,186.41000000000003,501.04999999999995,0.0,182.85000000000002,192.82,212.02,159.28,182.0325,211.85000000000002,201.85000000000002
2024-09-19,955.9475,911.6575,507.395,204.08999999999997,530.1099999999999,0.0,240.73,241.1275,222.975,178.90250000000003,213.25,224.14,214.85
2024-09-20,876.9475,876.4174999999999,595.6075000000001,211.26999999999998,511.27,0.0,226.68,219.34,201.40249999999997,182.7475,209.7475,186.2325,199.02999999999997
2024-09-21,820.8,816.2,-25.81750000000001,132.26999999999998,501.7149999999999,0.0,226.51,228.635,132.625,59.58,60.22,47.14,59.59
2024-09-22,899.975,907.7650000000001,1071.5500000000002,233.47,542.33,0.0,235.53499999999997,247.15999999999997,217.79000000000002,197.22000000000003,168.84500000000003,214.27249999999998,313.80750000000006
2024-09-23,1409.68,1417.39,661.79,266.6,658.76,0.0,242.885,255.94000000000005,245.44,224.08500000000004,203.32500000000005,245.16,246.11
2024-09-24,1267.49,1264.865,209.02999999999997,277.61,614.0400000000001,0.0,270.20000000000005,247.1375,259.62,175.24,229.75750000000002,224.05,221.75
2024-09-25,403.21250000000003,146.13,81.9825,259.81,467.71000000000004,0.0,250.94,253.2,270.10249999999996,68.60000000000002,69.00750000000001,73.76000000000002,62.96000000000002
2024-09-26,671.0800000000002,556.2674999999999,98.055,284.09,534.9,0.0,250.22500000000002,250.88,285.15999999999997,81.57999999999998,122.21999999999998,135.9525,135.91
2024-09-27,77.8825,73.53,98.44,166.07,149.98000000000002,0.0,265.22,264.27,154.95,53.06249999999999,35.8475,43.400000000000006,57.88999999999999
2024-09-28,65.9775,29.904999999999994,255.66000000000003,182.84,160.15,0.0,236.46999999999997,239.60500000000002,235.0,41.78,41.99,36.935,43.910000000000004
2024-09-29,494.65000000000003,315.485,30.115000000000006,383.28999999999996,490.65,0.0,240.5825,229.03000000000003,437.41999999999996,31.1375,-2.635000000000005,-2.3200000000000003,16.53
2024-09-30,243.91250000000002,184.23,465.22,297.78999999999996,307.6425,0.0,219.165,217.395,319.98,158.56,156.945,185.06,178.66
2024-10-01,374.55,201.26249999999993,193.19,407.33,410.56499999999994,0.0,391.87,211.18,435.7025,126.40249999999997,308.27,303.8125,297.91999999999996
