AREA,'ISP','Reserve Type','Type of Product','Direction','Offered','Activated','Unavailable'
NO1 SCA,'12.09.2023 18:30 - 12.09.2023 18:45 (CET/CEST)','mFRR','Local','Down','85','0',''
NO1 SCA,'12.09.2023 18:45 - 12.09.2023 19:00 (CET/CEST)','mFRR','Local','Up','177','0',''
NO1 SCA,'12.09.2023 18:45 - 12.09.2023 19:00 (CET/CEST)','mFRR','Local','Down','85','0',''
NO1 SCA,'12.09.2023 19:00 - 12.09.2023 19:15 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 19:00 - 12.09.2023 19:15 (CET/CEST)','mFRR','Local','Down','105','0',''
NO1 SCA,'12.09.2023 19:15 - 12.09.2023 19:30 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 19:15 - 12.09.2023 19:30 (CET/CEST)','mFRR','Local','Down','105','0',''
NO1 SCA,'12.09.2023 19:30 - 12.09.2023 19:45 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 19:30 - 12.09.2023 19:45 (CET/CEST)','mFRR','Local','Down','105','0',''
NO1 SCA,'12.09.2023 19:45 - 12.09.2023 20:00 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 19:45 - 12.09.2023 20:00 (CET/CEST)','mFRR','Local','Down','105','0',''
NO1 SCA,'12.09.2023 20:00 - 12.09.2023 20:15 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 20:00 - 12.09.2023 20:15 (CET/CEST)','mFRR','Local','Down','110','0',''
NO1 SCA,'12.09.2023 20:15 - 12.09.2023 20:30 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 20:15 - 12.09.2023 20:30 (CET/CEST)','mFRR','Local','Down','110','0',''
NO1 SCA,'12.09.2023 20:30 - 12.09.2023 20:45 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 20:30 - 12.09.2023 20:45 (CET/CEST)','mFRR','Local','Down','110','0',''
NO1 SCA,'12.09.2023 20:45 - 12.09.2023 21:00 (CET/CEST)','mFRR','Local','Up','131','0',''
NO1 SCA,'12.09.2023 20:45 - 12.09.2023 21:00 (CET/CEST)','mFRR','Local','Down','110','0',''
NO1 SCA,'12.09.2023 21:00 - 12.09.2023 21:15 (CET/CEST)','mFRR','Local','Up','156','0',''
NO1 SCA,'12.09.2023 21:00 - 12.09.2023 21:15 (CET/CEST)','mFRR','Local','Down','71','0',''
NO1 SCA,'12.09.2023 21:15 - 12.09.2023 21:30 (CET/CEST)','mFRR','Local','Up','156','0',''
NO1 SCA,'12.09.2023 21:15 - 12.09.2023 21:30 (CET/CEST)','mFRR','Local','Down','71','0',''
NO1 SCA,'12.09.2023 21:30 - 12.09.2023 21:45 (CET/CEST)','mFRR','Local','Up','156','0',''
NO1 SCA,'12.09.2023 21:30 - 12.09.2023 21:45 (CET/CEST)','mFRR','Local','Down','71','0',''
NO1 SCA,'12.09.2023 21:45 - 12.09.2023 22:00 (CET/CEST)','mFRR','Local','Up','156','0',''
NO1 SCA,'12.09.2023 21:45 - 12.09.2023 22:00 (CET/CEST)','mFRR','Local','Down','71','0',''
NO1 SCA,'12.09.2023 22:00 - 12.09.2023 22:15 (CET/CEST)','mFRR','Local','Up','183','0',''
NO1 SCA,'12.09.2023 22:00 - 12.09.2023 22:15 (CET/CEST)','mFRR','Local','Down','62','0',''
NO1 SCA,'12.09.2023 22:15 - 12.09.2023 22:30 (CET/CEST)','mFRR','Local','Up','183','0',''
NO1 SCA,'12.09.2023 22:15 - 12.09.2023 22:30 (CET/CEST)','mFRR','Local','Down','62','0',''
NO1 SCA,'12.09.2023 22:30 - 12.09.2023 22:45 (CET/CEST)','mFRR','Local','Up','183','0',''
NO1 SCA,'12.09.2023 22:30 - 12.09.2023 22:45 (CET/CEST)','mFRR','Local','Down','62','0',''
NO1 SCA,'12.09.2023 22:45 - 12.09.2023 23:00 (CET/CEST)','mFRR','Local','Up','183','0',''
NO1 SCA,'12.09.2023 22:45 - 12.09.2023 23:00 (CET/CEST)','mFRR','Local','Down','62','0',''
NO1 SCA,'12.09.2023 23:00 - 12.09.2023 23:15 (CET/CEST)','mFRR','Local','Up','196','0',''
NO1 SCA,'12.09.2023 23:00 - 12.09.2023 23:15 (CET/CEST)','mFRR','Local','Down','90','0',''
NO1 SCA,'12.09.2023 23:15 - 12.09.2023 23:30 (CET/CEST)','mFRR','Local','Up','196','0',''
NO1 SCA,'12.09.2023 23:15 - 12.09.2023 23:30 (CET/CEST)','mFRR','Local','Down','90','0',''
NO1 SCA,'12.09.2023 23:30 - 12.09.2023 23:45 (CET/CEST)','mFRR','Local','Up','196','0',''
NO1 SCA,'12.09.2023 23:30 - 12.09.2023 23:45 (CET/CEST)','mFRR','Local','Down','90','0',''
NO1 SCA,'12.09.2023 23:45 - 13.09.2023 00:00 (CET/CEST)','mFRR','Local','Up','196','0',''
NO1 SCA,'12.09.2023 23:45 - 13.09.2023 00:00 (CET/CEST)','mFRR','Local','Down','90','0',''
NO1 SCA,'13.09.2023 00:00 - 13.09.2023 00:15 (CET/CEST)','mFRR','Local','Up','200','0',''
NO1 SCA,'13.09.2023 00:00 - 13.09.2023 00:15 (CET/CEST)','mFRR','Local','Down','58','0',''
NO1 SCA,'13.09.2023 00:15 - 13.09.2023 00:30 (CET/CEST)','mFRR','Local','Up','200','0',''
NO1 SCA,'13.09.2023 00:15 - 13.09.2023 00:30 (CET/CEST)','mFRR','Local','Down','58','0',''
NO1 SCA,'13.09.2023 00:30 - 13.09.2023 00:45 (CET/CEST)','mFRR','Local','Up','200','0',''
NO1 SCA,'13.09.2023 00:30 - 13.09.2023 00:45 (CET/CEST)','mFRR','Local','Down','58','0',''
NO1 SCA,'13.09.2023 00:45 - 13.09.2023 01:00 (CET/CEST)','mFRR','Local','Up','200','0',''
NO1 SCA,'13.09.2023 00:45 - 13.09.2023 01:00 (CET/CEST)','mFRR','Local','Down','58','0',''
NO1 SCA,'13.09.2023 01:00 - 13.09.2023 01:15 (CET/CEST)','mFRR','Local','Up','273','0',''
NO1 SCA,'13.09.2023 01:00 - 13.09.2023 01:15 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 01:15 - 13.09.2023 01:30 (CET/CEST)','mFRR','Local','Up','273','0',''
NO1 SCA,'13.09.2023 01:15 - 13.09.2023 01:30 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 01:30 - 13.09.2023 01:45 (CET/CEST)','mFRR','Local','Up','273','0',''
NO1 SCA,'13.09.2023 01:30 - 13.09.2023 01:45 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 01:45 - 13.09.2023 02:00 (CET/CEST)','mFRR','Local','Up','273','0',''
NO1 SCA,'13.09.2023 01:45 - 13.09.2023 02:00 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 02:00 - 13.09.2023 02:15 (CET/CEST)','mFRR','Local','Up','303','0',''
NO1 SCA,'13.09.2023 02:00 - 13.09.2023 02:15 (CET/CEST)','mFRR','Local','Down','130','0',''
NO1 SCA,'13.09.2023 02:15 - 13.09.2023 02:30 (CET/CEST)','mFRR','Local','Up','303','0',''
