ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
06/01/2024 22:00:00 - 06/01/2024 23:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,89.34,89.34
06/01/2024 23:00:00 - 07/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,82.8,82.8
07/01/2024 00:00:00 - 07/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.0,86.15
07/01/2024 01:00:00 - 07/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.0,82.46
07/01/2024 02:00:00 - 07/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,96.0,79.22
07/01/2024 03:00:00 - 07/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,77.53
07/01/2024 04:00:00 - 07/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,76.89
07/01/2024 05:00:00 - 07/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,77.42
07/01/2024 06:00:00 - 07/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,78.45
07/01/2024 07:00:00 - 07/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,90.0,80.37
07/01/2024 08:00:00 - 07/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,85.0,84.21
07/01/2024 09:00:00 - 07/01/2024 10:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,90.0,87.57
07/01/2024 10:00:00 - 07/01/2024 11:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,102.0,89.75
07/01/2024 11:00:00 - 07/01/2024 12:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,102.0,91.99
07/01/2024 12:00:00 - 07/01/2024 13:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.0,91.5
07/01/2024 13:00:00 - 07/01/2024 14:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.0,87.52
07/01/2024 14:00:00 - 07/01/2024 15:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.0,87.23
07/01/2024 15:00:00 - 07/01/2024 16:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.0,90.64
07/01/2024 16:00:00 - 07/01/2024 17:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.0,96.21
07/01/2024 17:00:00 - 07/01/2024 18:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,201.11,104.27
07/01/2024 18:00:00 - 07/01/2024 19:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,260.0,106.09
07/01/2024 19:00:00 - 07/01/2024 20:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,179.0,103.55
07/01/2024 20:00:00 - 07/01/2024 21:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,114.0,100.5
07/01/2024 21:00:00 - 07/01/2024 22:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,114.0,93.31
07/01/2024 22:00:00 - 07/01/2024 23:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,114.0,91.17
07/01/2024 23:00:00 - 08/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,113.0,83.86
08/01/2024 00:00:00 - 08/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,98.0,87.02
08/01/2024 01:00:00 - 08/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,84.32,84.32
08/01/2024 02:00:00 - 08/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,81.82,81.82
08/01/2024 03:00:00 - 08/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,87.0,80.63
08/01/2024 04:00:00 - 08/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,87.0,79.04
08/01/2024 05:00:00 - 08/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,82.1,82.1
08/01/2024 06:00:00 - 08/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,133.0,94.3
08/01/2024 07:00:00 - 08/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,499.12,111.22
08/01/2024 08:00:00 - 08/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,1206.14,121.11
08/01/2024 09:00:00 - 08/01/2024 10:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,1205.86,120.73
08/01/2024 10:00:00 - 08/01/2024 11:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,499.12,113.9
08/01/2024 11:00:00 - 08/01/2024 12:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,293.0,105.54
08/01/2024 12:00:00 - 08/01/2024 13:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,133.0,97.84
08/01/2024 13:00:00 - 08/01/2024 14:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,94.88,93.0
08/01/2024 14:00:00 - 08/01/2024 15:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,102.46,102.46
08/01/2024 15:00:00 - 08/01/2024 16:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,110.64,91.18
08/01/2024 16:00:00 - 08/01/2024 17:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,128.0,90.0
08/01/2024 17:00:00 - 08/01/2024 18:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,132.31,132.31
08/01/2024 18:00:00 - 08/01/2024 19:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,130.01,130.01
08/01/2024 19:00:00 - 08/01/2024 20:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,129.0,122.12
08/01/2024 20:00:00 - 08/01/2024 21:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,129.0,114.21
08/01/2024 21:00:00 - 08/01/2024 22:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,129.0,99.85
08/01/2024 22:00:00 - 08/01/2024 23:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,132.0,97.08
08/01/2024 23:00:00 - 09/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,110.0,88.83
09/01/2024 00:00:00 - 09/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,85.43
09/01/2024 01:00:00 - 09/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,84.34
09/01/2024 02:00:00 - 09/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,82.54
09/01/2024 03:00:00 - 09/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,81.7
09/01/2024 04:00:00 - 09/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,83.23
09/01/2024 05:00:00 - 09/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,98.0,86.34
09/01/2024 06:00:00 - 09/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,120.0,88.98
09/01/2024 07:00:00 - 09/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,135.0,94.88
09/01/2024 08:00:00 - 09/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,250.0,129.11
